time_period_start,price_open,price_high,price_low,price_close,volume_traded
2024-05-24T00:00:00.0000000Z,3780.42,3827.99,3627.53,3714.03,68419.1923544199
2024-05-23T00:00:00.0000000Z,3737.08,3947.0,3521.24,3780.83,286770.2528993
2024-05-22T00:00:00.0000000Z,3789.41,3810.33,3653.17,3737.53,103041.09224673
2024-05-21T00:00:00.0000000Z,3661.34,3841.24,3626.42,3789.37,178934.32376869
2024-05-20T00:00:00.0000000Z,3070.83,3695.0,3048.58,3661.52,205955.38381556
2024-05-19T00:00:00.0000000Z,3125.31,3137.64,3053.74,3070.9,20136.13152086
2024-05-18T00:00:00.0000000Z,3093.2,3148.0,3085.07,3123.97,21260.458086
2024-05-17T00:00:00.0000000Z,2944.8,3122.08,2933.36,3093.69,57505.78039846
2024-05-16T00:00:00.0000000Z,3033.23,3041.71,2924.02,2945.11,60148.4093293902
2024-05-15T00:00:00.0000000Z,2880.39,3041.53,2862.36,3033.2,65552.97430203
2024-05-14T00:00:00.0000000Z,2950.09,2988.0,2858.76,2880.4,60078.7404780199
2024-05-13T00:00:00.0000000Z,2927.72,2994.74,2864.35,2950.59,60632.8942533
2024-05-12T00:00:00.0000000Z,2911.77,2953.16,2900.59,2927.75,11784.54608301
2024-05-11T00:00:00.0000000Z,2909.38,2943.45,2886.07,2911.75,17205.6755365
2024-05-10T00:00:00.0000000Z,3035.19,3052.87,2878.38,2909.42,56330.62154657
2024-05-09T00:00:00.0000000Z,2972.49,3058.43,2949.52,3035.92,31628.54109518
2024-05-08T00:00:00.0000000Z,3006.09,3038.17,2937.09,2972.81,36997.10149081
2024-05-07T00:00:00.0000000Z,3062.5,3129.9,3000.0,3005.78,41172.2444936699
2024-05-06T00:00:00.0000000Z,3136.77,3221.41,3045.59,3061.78,62431.33100769
2024-05-05T00:00:00.0000000Z,3117.52,3171.64,3073.7,3136.95,37039.6743428699
2024-05-04T00:00:00.0000000Z,3104.11,3167.85,3093.87,3117.41,36802.81625471
2024-05-03T00:00:00.0000000Z,2986.12,3128.04,2958.55,3103.76,77644.25560751
2024-05-02T00:00:00.0000000Z,2968.21,3016.07,2890.28,2986.32,58648.45481442
2024-05-01T00:00:00.0000000Z,3011.24,3020.26,2814.12,2968.12,144933.03576802
2024-04-30T00:00:00.0000000Z,3215.89,3249.66,2916.34,3011.4,122261.10961573
2024-04-29T00:00:00.0000000Z,3183.45,3233.75,3114.56,3215.53,52570.7402722399
2024-04-25T00:00:00.0000000Z,3139.27,3173.8,3071.79,3163.76,78011.9924133001
2024-04-24T00:00:00.0000000Z,3219.42,3293.4,3102.62,3138.91,88784.32655222
2024-04-23T00:00:00.0000000Z,3201.67,3266.4,3153.41,3219.49,69641.2523789102
2024-04-22T00:00:00.0000000Z,3148.06,3237.41,3129.68,3201.46,70495.5200624
2024-04-21T00:00:00.0000000Z,3156.62,3198.46,3117.46,3148.07,34110.28804823
2024-04-20T00:00:00.0000000Z,3057.9,3172.3,3019.11,3157.01,42703.49658553
2024-04-19T00:00:00.0000000Z,3065.8,3128.99,2865.71,3057.93,126464.7574549
2024-04-18T00:00:00.0000000Z,2984.9,3100.8,2952.53,3065.82,91463.5558964301
2024-04-17T00:00:00.0000000Z,3085.41,3124.03,2914.01,2984.98,122510.85580334
2024-04-16T00:00:00.0000000Z,3100.05,3128.28,2990.0,3085.25,108691.47061002
2024-04-15T00:00:00.0000000Z,3158.2,3281.21,3025.68,3102.57,100923.40235911
2024-04-14T00:00:00.0000000Z,3012.01,3175.72,2911.23,3158.06,113192.57667235
2024-04-13T00:00:00.0000000Z,3238.98,3302.32,2850.0,3011.39,149299.26214337
2024-04-12T00:00:00.0000000Z,3503.06,3553.03,3100.0,3239.31,99564.1181228001
2024-04-11T00:00:00.0000000Z,3546.07,3617.97,3473.6,3503.06,67427.47523439
2024-04-10T00:00:00.0000000Z,3504.24,3562.51,3411.59,3546.0,67345.4277971701
2024-04-09T00:00:00.0000000Z,3694.26,3726.79,3450.6,3504.58,79663.09986554
2024-04-08T00:00:00.0000000Z,3453.69,3729.16,3406.93,3694.56,106483.68799834
2024-04-07T00:00:00.0000000Z,3352.87,3459.52,3345.36,3453.67,37640.59809642
2024-04-06T00:00:00.0000000Z,3319.32,3398.8,3308.7,3352.66,33121.17120638
2024-04-05T00:00:00.0000000Z,3329.41,3348.33,3215.2,3319.26,71348.63243127
2024-04-04T00:00:00.0000000Z,3312.42,3444.95,3251.91,3329.39,95038.59410208
2024-04-03T00:00:00.0000000Z,3279.71,3369.43,3202.8,3312.43,92031.1777783102
2024-04-02T00:00:00.0000000Z,3505.95,3507.69,3211.41,3279.64,131342.3331035
2024-04-01T00:00:00.0000000Z,3645.55,3646.38,3413.86,3505.85,96083.32663688
2024-03-31T00:00:00.0000000Z,3507.31,3654.87,3505.76,3645.48,53825.1219174199
2024-03-30T00:00:00.0000000Z,3511.21,3568.13,3488.08,3507.51,49270.23319825
2024-03-29T00:00:00.0000000Z,3561.12,3584.9,3473.42,3511.08,60131.8578347501
