time_period_start,price_open,price_high,price_low,price_close,volume_traded
2024-05-24T00:00:00.0000000Z,0.5285,0.5372,0.5166,0.5336,31176214.192712
2024-05-23T00:00:00.0000000Z,0.5268,0.5483,0.5026,0.5286,88185474.651463
2024-05-22T00:00:00.0000000Z,0.5369,0.5381,0.5224,0.5267,32609863.793336
2024-05-21T00:00:00.0000000Z,0.5378,0.5571,0.5317,0.5369,55035148.938938
2024-05-20T00:00:00.0000000Z,0.5096,0.5381,0.5062,0.5378,50875056.736019
2024-05-19T00:00:00.0000000Z,0.5217,0.5237,0.5064,0.5096,12276716.786846
2024-05-18T00:00:00.0000000Z,0.5238,0.5257,0.5189,0.5214,9204043.14851799
2024-05-17T00:00:00.0000000Z,0.5159,0.5294,0.5136,0.5236,25866604.561977
2024-05-16T00:00:00.0000000Z,0.5192,0.5225,0.5123,0.5159,33789244.376266
2024-05-15T00:00:00.0000000Z,0.5001,0.52,0.4964,0.5192,26774896.369635
2024-05-14T00:00:00.0000000Z,0.5052,0.516,0.497,0.4999,31084830.968169
2024-05-13T00:00:00.0000000Z,0.4992,0.5119,0.4866,0.5052,30562655.5858419
2024-05-12T00:00:00.0000000Z,0.5059,0.5086,0.4956,0.4992,8868902.623142
2024-05-11T00:00:00.0000000Z,0.5021,0.5076,0.5004,0.5059,12172038.225431
2024-05-10T00:00:00.0000000Z,0.5208,0.5208,0.4973,0.5022,28078792.255671
2024-05-09T00:00:00.0000000Z,0.517,0.5235,0.5086,0.521,18717539.947925
2024-05-08T00:00:00.0000000Z,0.5244,0.5297,0.5151,0.5168,31152376.495306
2024-05-07T00:00:00.0000000Z,0.5397,0.5443,0.5217,0.5245,30717685.503019
2024-05-06T00:00:00.0000000Z,0.5297,0.57,0.5248,0.54,69982843.057117
2024-05-05T00:00:00.0000000Z,0.5303,0.5334,0.5241,0.5297,19475184.852206
2024-05-04T00:00:00.0000000Z,0.5319,0.5411,0.5275,0.5303,28290936.285739
2024-05-03T00:00:00.0000000Z,0.5181,0.537,0.5146,0.5319,48022521.465885
2024-05-02T00:00:00.0000000Z,0.5167,0.5247,0.5062,0.5181,51216971.2442039
2024-05-01T00:00:00.0000000Z,0.5002,0.5209,0.478,0.5169,87456023.417658
2024-04-30T00:00:00.0000000Z,0.515,0.5197,0.4878,0.5003,58292238.26988
2024-04-29T00:00:00.0000000Z,0.5073,0.5174,0.5027,0.5148,28146797.979654
2024-04-25T00:00:00.0000000Z,0.5272,0.5315,0.5135,0.53,37798483.7106469
2024-04-24T00:00:00.0000000Z,0.5445,0.5519,0.521,0.5273,62274548.45117
2024-04-23T00:00:00.0000000Z,0.5562,0.5645,0.5419,0.5445,60488429.2587411
2024-04-22T00:00:00.0000000Z,0.5247,0.572,0.5222,0.5561,80066557.94298
2024-04-21T00:00:00.0000000Z,0.5291,0.5369,0.5179,0.5246,36684860.877559
2024-04-20T00:00:00.0000000Z,0.5031,0.5306,0.4983,0.5291,58152255.00789
2024-04-19T00:00:00.0000000Z,0.503,0.511,0.4669,0.5033,89510257.6489999
2024-04-18T00:00:00.0000000Z,0.4952,0.5065,0.4856,0.503,55109894.983802
2024-04-17T00:00:00.0000000Z,0.4966,0.528,0.4718,0.4952,75425465.554536
2024-04-16T00:00:00.0000000Z,0.4978,0.5023,0.4767,0.4968,68395908.7542291
2024-04-15T00:00:00.0000000Z,0.504,0.5194,0.4814,0.4979,81127266.5798591
2024-04-14T00:00:00.0000000Z,0.4801,0.5076,0.4641,0.5039,110100606.778757
2024-04-13T00:00:00.0000000Z,0.5474,0.5492,0.4315,0.4801,129451687.840387
2024-04-12T00:00:00.0000000Z,0.6087,0.6158,0.5014,0.5474,84032249.781842
2024-04-11T00:00:00.0000000Z,0.6172,0.6214,0.603,0.6087,48741269.355762
2024-04-10T00:00:00.0000000Z,0.6138,0.6203,0.592,0.6172,57797853.027628
2024-04-09T00:00:00.0000000Z,0.6147,0.6429,0.6015,0.6137,70842757.2270341
2024-04-08T00:00:00.0000000Z,0.5945,0.6265,0.5883,0.6147,64217455.255943
2024-04-07T00:00:00.0000000Z,0.5931,0.6031,0.5896,0.5945,33297070.212275
2024-04-06T00:00:00.0000000Z,0.5873,0.599,0.5856,0.5931,26929568.732644
2024-04-05T00:00:00.0000000Z,0.5937,0.5943,0.5695,0.5872,52202118.0577
2024-04-04T00:00:00.0000000Z,0.5743,0.62,0.5623,0.5937,90405899.014192
2024-04-03T00:00:00.0000000Z,0.5856,0.5933,0.5662,0.5744,71035579.7725332
2024-04-02T00:00:00.0000000Z,0.6112,0.6186,0.5791,0.5856,97057981.509095
2024-04-01T00:00:00.0000000Z,0.6292,0.6337,0.5945,0.6112,65657926.762495
2024-03-31T00:00:00.0000000Z,0.6215,0.6301,0.6207,0.6291,27761567.990838
2024-03-30T00:00:00.0000000Z,0.6303,0.6373,0.618,0.6216,42895801.412959
2024-03-29T00:00:00.0000000Z,0.6244,0.6453,0.6088,0.6305,75932538.923752
2024-03-28T00:00:00.0000000Z,0.6115,0.6379,0.6029,0.6246,76682956.480622
2024-03-27T00:00:00.0000000Z,0.6317,0.6348,0.6057,0.6116,72496008.5819611
2024-03-26T00:00:00.0000000Z,0.6405,0.6531,0.6254,0.6318,58289965.854148
2024-03-25T00:00:00.0000000Z,0.6326,0.663,0.6267,0.6406,81803424.329086
2024-03-24T00:00:00.0000000Z,0.6168,0.6357,0.6136,0.6325,42648020.807832
2024-03-23T00:00:00.0000000Z,0.6115,0.6331,0.6034,0.6167,34656466.334716
2024-03-22T00:00:00.0000000Z,0.6403,0.6453,0.5986,0.6117,78126832.083423
2024-03-21T00:00:00.0000000Z,0.6109,0.655,0.5974,0.6403,70840807.462841
2024-03-20T00:00:00.0000000Z,0.5844,0.6188,0.5683,0.6108,105521017.897255
2024-03-19T00:00:00.0000000Z,0.6452,0.649,0.5713,0.5844,151748910.208353
2024-03-18T00:00:00.0000000Z,0.6187,0.6699,0.5944,0.6453,96815596.771425
2024-03-17T00:00:00.0000000Z,0.6026,0.6247,0.5865,0.6188,56476316.540078
2024-03-16T00:00:00.0000000Z,0.6344,0.6475,0.5926,0.6025,65916170.8245762
2024-03-15T00:00:00.0000000Z,0.6688,0.6754,0.5951,0.6345,136560128.297816
2024-03-14T00:00:00.0000000Z,0.6896,0.708,0.6379,0.6689,120712681.28582
2024-03-13T00:00:00.0000000Z,0.6882,0.7029,0.6693,0.6897,66544986.375987
2024-03-12T00:00:00.0000000Z,0.7229,0.7319,0.6591,0.6882,109067107.108651
2024-03-11T00:00:00.0000000Z,0.6088,0.785,0.5832,0.7235,114139473.075851
2024-03-10T00:00:00.0000000Z,0.6211,0.6289,0.5975,0.6086,32627127.764494
2024-03-09T00:00:00.0000000Z,0.6213,0.6339,0.6174,0.6211,45936366.923351
2024-03-08T00:00:00.0000000Z,0.6282,0.6348,0.6014,0.6211,84680589.342855
2024-03-07T00:00:00.0000000Z,0.6125,0.6402,0.6067,0.6282,82416004.729155
2024-03-06T00:00:00.0000000Z,0.5922,0.6242,0.576,0.6124,82718751.3563991
2024-03-05T00:00:00.0000000Z,0.6486,0.6699,0.5465,0.5921,166415292.438012
2024-03-04T00:00:00.0000000Z,0.627,0.6659,0.6168,0.6488,106478487.412773
2024-03-03T00:00:00.0000000Z,0.6447,0.645,0.5969,0.627,77220102.904564
2024-03-02T00:00:00.0000000Z,0.6018,0.6518,0.6,0.6448,123529007.563997
